ticker,date,time,text
TSLA,2021-11-01,06:59:00," ""Why Is Honda Chasing Tesla's CEO Into Space?"""
TSLA,2021-11-01,07:12:00," ""Musk vows to sell $6bn Tesla stake if UN shows how cash can'solve world hunger'"""
TSLA,2021-11-01,07:18:00,'Chinas Ganfeng Wins Deal to Supply Tesla With Lithium Products'
TSLA,2021-11-01,07:38:00,'S&P 500 Nasdaq open at record high in a big week for Federal Reserve'
TSLA,2021-11-01,08:13:00,'The Zacks Analyst Blog Highlights: Tesla Toyota Motor General Motors Nikola Corp and Standard Motor Products'
TSLA,2021-11-01,08:19:00,'Dow Jones Futures Rise As Fed Taper Looms For Market Rally; Tesla Jumps As Rival Hits Buy Zone'
TSLA,2021-11-01,08:34:00,'The All-Electric Porsche Taycan Is an Amazing Car. But Tesla Has Little to Worry About.'
TSLA,2021-11-01,08:51:00,'US STOCKS-Wall St eyes record open in a big week for Federal Reserve'
TSLA,2021-11-01,09:59:00,'This new fund gives an ESG flavor to the tech-heavy Nasdaq-100  and beats the index'
TSLA,2021-11-01,10:37:00," ""EV Roundup: TSLA's $1T Market Cap & XPEV's Tech Day Grab Eyeballs"""
TSLA,2021-11-01,10:55:00," ""US STOCKS-Wall Street mixed ahead of Federal Reserve's policy meet"""
TSLA,2021-11-01,11:30:00,'Has Tesla (TSLA) Outpaced Other Auto-Tires-Trucks Stocks This Year?'
TSLA,2021-11-01,11:39:00,'EV Truck Maker Rivian Should Go PublicNow. Opportunity Is Knocking.'
TSLA,2021-11-01,11:41:00,'Tesla opens charging network for other EVs in Netherlands'
TSLA,2021-11-01,11:45:00,'Tesla opens charging network to other EVs for the first time'
TSLA,2021-11-01,11:53:00,'Dow Jones Rallies As Tesla Surges To Record High; 3 Top Stocks To Buy And Watch'
TSLA,2021-11-01,11:56:00,'Why Tesla Stock Is Up Again Today'
TSLA,2021-11-01,12:25:00,'Is Li Auto Stock A Buy Or Sell After Reclaiming Key Levels?'
TSLA,2021-11-01,12:30:00," ""REFILE-US STOCKS-Tesla lifts Nasdaq to record territory; focus turns to Fed's policy meet"""
TSLA,2021-11-01,12:36:00,'Tesla Expands Battery Production Plans Signs Supply Agreement With Ganfeng Lithium'
TSLA,2021-11-01,13:37:00,'UPDATE 1-Tesla opens charging network to other EVs for the first time'
TSLA,2021-11-01,14:00:00,'The 3 Most Promising Energy IPOs This Year'
TSLA,2021-11-01,14:05:00,'Elon Musk dangles $6B to fight world hunger  but only if the UN can prove his money would solve the problem'
TSLA,2021-11-01,15:15:00,'Musk offers to give $6B if UN can prove it can solve world hunger'
TSLA,2021-11-01,15:33:00,'10 Stocks Turned $10000 Into $231250 In 10 Months'
TSLA,2021-11-01,15:50:00,'Rivian Is Going Public. Opportunity Is Knocking.'
TSLA,2021-11-01,15:58:00,'Why These 10 Stocks Are Trending on Monday'
TSLA,2021-11-01,16:03:00,'Cathie Woods ARK Innovation Fund Gained 10% in October. Thank Tesla and Coinbase.'
TSLA,2021-11-01,16:04:00,'China EV Sales: Xpeng Deliveries Triple XPEV Near Buy Point; Li Sales Double Nio Tumbles'
TSLA,2021-11-01,16:08:00,'Tesla Stock Pops As It Opens Supercharger Network To Other EVs In Europe'
TSLA,2021-11-01,16:22:00," ""Elon Musk's Net Worth Grew By The Value Of These 3 Companies Combined Today"""
TSLA,2021-11-01,16:56:00,'Elon Musk Is Now Three Times Richer Than Warren Buffett'
TSLA,2021-11-01,17:51:00,'New All-Time Closing Highs for Dow Nasdaq S&P'
TSLA,2021-11-01,18:51:00,'How to Buy Bitcoin'
TSLA,2021-11-01,19:30:00,'What is Rivian?'
TSLA,2021-11-01,21:55:00," ""What Tesla's move to open superchargers means"""
TSLA,2021-11-02,01:52:00,'Tesla Falls as Musk Says Hertz Deal Is Not Final Yet'
TSLA,2021-11-02,01:58:00,'Apple DuPont Tesla Elon Musk & Markets - 5 Things You Must Know'
TSLA,2021-11-02,03:41:00,'REFILE-Elon Musk goes viral on Chinese social media with ancient poem post'
TSLA,2021-11-02,03:45:00,'Elon Musk goes viral on Chinese social media with ancient poem post'
TSLA,2021-11-02,04:51:00,'Musk says Hertz deal isnt signed  and questions Tesla rally after the announcement'
TSLA,2021-11-02,05:29:00,'U.S. stock futures pause at record highs as Fed decision looms'
TSLA,2021-11-02,05:46:00,'Tesla starts programme to open up superchargers to non-Tesla electric vehicles'
TSLA,2021-11-02,06:14:00,'Tesla Shares Slump After Musk Tweets That the Hertz Deal Isnt Done Yet'
TSLA,2021-11-02,06:35:00,'Tesla to recall more than 11700 vehicles due to software glitch that can activate emergency brake: NHTSA notice'
TSLA,2021-11-02,06:38:00,'Tesla Stock Reverses as Musk Says Hertz Deal Not Signed Yet'
TSLA,2021-11-02,07:03:00,'UPDATE 1-Tesla recalls nearly 12000 U.S. vehicles over software communication error'
TSLA,2021-11-02,07:03:00,'US STOCKS-Futures slip on Fed angst; Tesla slides after record run'
TSLA,2021-11-02,07:13:00,'Musk says Tesla has not signed a contract with Hertz yet halts stock rally'
TSLA,2021-11-02,07:19:00,'Wall St eyes mixed open on Fed angst; Tesla slides after record run'
TSLA,2021-11-02,07:28:00,'Musk says Tesla has not signed a contract with Hertz yet halts stock rally'
TSLA,2021-11-02,07:44:00,'Is It Too Late to Buy Tesla Stock?'
TSLA,2021-11-02,07:55:00,'Dow Jones Futures Rally As Tesla Skids On Elon Musk Tweet Vehicle Recall'
TSLA,2021-11-02,08:03:00,'10 Best Stocks To Buy Today'
TSLA,2021-11-02,08:08:00,'Cathie Woods ARK Innovation ETF Jumped 10% Last Month. What Drove the Gains.'
TSLA,2021-11-02,08:51:00,'Tesla Stock Is Sliding. Just Dont Blame Hertz or Recalls.'
TSLA,2021-11-02,08:57:00,'US STOCKS-Wall St eyes mixed open on Fed angst; Tesla slides after record run'
TSLA,2021-11-02,09:34:00,'UPDATE 1-Musk says Tesla has not signed a contract with Hertz yet halts stock rally'
TSLA,2021-11-02,09:41:00,'Rivian readies for IPO amid electric vehicle revolution'
TSLA,2021-11-02,09:49:00,'Rivian readies for IPO amid electric vehicle revolution'
TSLA,2021-11-02,10:00:00,'Dow Jones Today Flattens Nasdaq Gains As Musk Tweet Dunks Tesla; Gartner Arista Univar Rally On Earnings'
TSLA,2021-11-02,10:28:00,'US STOCKS-S&P 500 Nasdaq hit record highs on earnings boost; Fed angst prevails'
TSLA,2021-11-02,10:39:00,'Tesla dips following delays with Hertz partnership'
TSLA,2021-11-02,10:54:00,'UPDATE 1-Cryptic Elon Musk post goes viral in China amid clash with World Food Program'
TSLA,2021-11-02,10:56:00," ""Tesla drops after Musk tweets that'no contract has been signed' with Hertz"""
TSLA,2021-11-02,11:02:00,'Tesla down after Musk tweet Avis shares spike over 150%'
TSLA,2021-11-02,11:02:00,'Were Hedge Funds Right About Tesla Inc. (TSLA)?'
TSLA,2021-11-02,11:08:00,'Why Tesla Stock Finally Put on the Brakes Today'
TSLA,2021-11-02,11:15:00,'Is Lucid Motors Stock A Buy Right As Initial Deliveries Of Lucid Air Start?'
TSLA,2021-11-02,11:24:00,'Tesla Stock Is Sliding. Just Dont Blame Hertz or Recalls.'
TSLA,2021-11-02,11:30:00,'Tesla (TSLA) Stock Whipsaws'
TSLA,2021-11-02,11:36:00,'Video Highlight: Bird Rides and Switchback II Deal Approved  Interview with Both CEOs'
TSLA,2021-11-02,11:47:00,'Dow Jones Rallies As Tesla Falls On Hertz Deal Uncertainty'
TSLA,2021-11-02,12:01:00,'Tesla software recall may head off dispute with U.S. safety regulators'
TSLA,2021-11-02,12:10:00,'Dow Jones Hits New High As This Key Stock Breaks Out; Nasdaq Marks Record Despite Tesla'
TSLA,2021-11-02,12:24:00,'US STOCKS-Wall St scales record peaks on earnings cheer; Fed meeting in focus'
TSLA,2021-11-02,12:39:00,'Elon Musk should not let go of win-win deal with Hertz'
TSLA,2021-11-02,12:39:00,'Hertz Stock Is Winning as Aviss Gain Outweighs Tweet From Musk'
TSLA,2021-11-02,13:37:00,'With Third-Quarter Results Beating Expectations Is Tesla Stock A Buy?'
TSLA,2021-11-02,13:55:00,'Is Rivian Stock A Buy? EV Startup Seeks $55 Billion Valuation In Looming IPO'
TSLA,2021-11-02,13:57:00,'Why These 10 Stocks Are Trending on Tuesday'
TSLA,2021-11-02,14:00:00," ""ETFs to Tap on Rivian's High-Profile IPO Plan"""
TSLA,2021-11-02,14:07:00,'Dow Jones Gains As Apple Stock Microsoft Rally; Tesla Falls After Elon Musk Reveals This'
TSLA,2021-11-02,14:49:00,'Microsoft GOOGL Stock And Top IPOs Lead IBD 50 In Stock Market Rally'
TSLA,2021-11-02,15:04:00,'Stocks dont get more Meme than Avis'
TSLA,2021-11-02,15:57:00," ""Dan Ives on Tesla bears:'They hated at $100. They hate it at $5500.'"""
TSLA,2021-11-02,16:05:00,'Tesla Stock Falls As Musk Says Hertz Deal Not Signed'
TSLA,2021-11-02,16:06:00,'Avis Stock Surges After Blockbuster Earnings Triggering Apparent Short Squeeze'
TSLA,2021-11-02,16:20:00,'Tesla Shares Slide as Musk Tweets on Lack of Hertz Contract'
TSLA,2021-11-02,16:43:00,'This Psychedelics Stock Was Up More Than 20% Last Week Outperforming Tesla Nvidia and GameStop'
TSLA,2021-11-02,16:51:00,'Dow Jones Nasdaq Hit Record Highs; Apple Microsoft Advance; Goldman Sachs Scores Breakout'
TSLA,2021-11-02,16:59:00," ""Tesla's Elon Musk bemoans German red tape again"""
TSLA,2021-11-02,17:05:00," ""Tesla's Elon Musk bemoans German red tape again"""
TSLA,2021-11-02,18:03:00,'As Hertz gets ready to add Tesla vehicles rental-car bonds could get riskier: Moodys'
TSLA,2021-11-02,18:42:00,'Elon Musk Says Tesla Hasnt Signed Contract With Hertz Despite Earlier Announcement'
TSLA,2021-11-02,19:09:00,'5 Best Chinese Stocks To Buy And Watch'
TSLA,2021-11-02,20:01:00,'Tesla added to Uber London plan to boost electric car uptake'
TSLA,2021-11-02,20:45:00,'Elon Musk Says Tesla Hasnt Signed Contract With Hertz Despite Earlier Announcement'
TSLA,2021-11-03,06:00:00,'11 Best Aggressive Stocks To Buy Now'
TSLA,2021-11-03,06:53:00,'Dow Jones Futures: Market Rally Rises As Tesla Pauses CAR BBBY Lead Meme Stock Revival'
